 [INFO] 2019-08-12 22:34:26,343 [MainThread:3852] [django.utils.autoreload:586] [autoreload:run_with_reloader] - Watching for file changes with StatReloader
 [DEBUG] 2019-08-12 22:34:26,343 [MainThread:3852] [django.utils.autoreload:277] [autoreload:run] - Waiting for apps ready_event.
 [DEBUG] 2019-08-12 22:34:26,348 [MainThread:3852] [django.utils.autoreload:288] [autoreload:run] - Apps ready_event triggered. Sending autoreload_started signal.
 [DEBUG] 2019-08-12 22:34:26,348 [MainThread:3852] [django.utils.autoreload:236] [autoreload:watch_dir] - Watching dir D:\niki\test-dev-code\haizeiclass\django_interface_project\locale with glob **/*.mo.
 [DEBUG] 2019-08-12 22:34:26,348 [MainThread:3852] [django.utils.autoreload:236] [autoreload:watch_dir] - Watching dir D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
 [DEBUG] 2019-08-12 22:34:26,349 [MainThread:3852] [django.utils.autoreload:236] [autoreload:watch_dir] - Watching dir D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
 [DEBUG] 2019-08-12 22:34:26,349 [MainThread:3852] [django.utils.autoreload:236] [autoreload:watch_dir] - Watching dir D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
 [DEBUG] 2019-08-12 22:34:26,349 [MainThread:3852] [django.utils.autoreload:236] [autoreload:watch_dir] - Watching dir D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
 [DEBUG] 2019-08-12 22:34:26,349 [MainThread:3852] [django.utils.autoreload:236] [autoreload:watch_dir] - Watching dir D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
 [DEBUG] 2019-08-12 22:34:26,349 [MainThread:3852] [django.utils.autoreload:236] [autoreload:watch_dir] - Watching dir D:\niki\test-dev-code\haizeiclass\django_interface_project\interface_main\locale with glob **/*.mo.
 [DEBUG] 2019-08-12 22:34:26,349 [MainThread:3852] [django.utils.autoreload:236] [autoreload:watch_dir] - Watching dir D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\lib\site-packages\corsheaders\locale with glob **/*.mo.
 [DEBUG] 2019-08-12 22:34:26,375 [django-main-thread:7108] [django.db.backends:110] [utils:execute] - (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
 [DEBUG] 2019-08-12 22:34:26,451 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\email\utils.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,451 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1563109889.3870106
